Lien,Numéro Brevet,Titre,Date de publication,Mots-clés,Description,Domaine Technologique,Inventeurs,Titulaire du brevet,Statut du brevet
https://patents.google.com/patent/US10318837B2,US10318837B2,Distinguishing between stock keeping units using a physical dimension of a region depicted in an image,2016-05-02,"disclosure, includes, system, method, for, distinguishing, between","
     The disclosure includes a system and method for distinguishing between stock keeping units of similar appearance that vary in size. An image recognition application receives an image including a shelving unit stocking a plurality of items, identifies each item in the image, generates a region of interest for each identified item in the image, identifies a physical dimension of a portion of region depicted in the image, determines a dimension of the region of interest for each identified item and the portion of region in pixels, determines a pixel-to-physical dimension ratio using the dimension in pixels of the portion of region and the physical dimension of the portion of region depicted in the image, and determines a stock keeping unit identifier of each identified item in the image based on the pixel-to-physical dimension ratio and the dimension of the region of interest for each identified item. 
   
   ",Autre,"Bharathi Shekar, Sri Kaushik Pavani, Anshul Garg",Ricoh Co Ltd,Active
https://patents.google.com/patent/US10318839B2,US10318839B2,Method for automatic detection of anatomical landmarks in volumetric data,2016-01-12,"Embodiments, method, for, detection, plurality, three-dimensional","
     Embodiments of a method for detection of plurality of three-dimensional cephalometric landmarks in volumetric data are disclosed. In some embodiments, a three-dimensional matrix is developed by stacking of volumetric data and the bony structure is segmented through thresholding. Initially a seed point is searched for initializing the process of landmark detection. Two three-dimensional distance vectors are used to define and obtain the Volume of Interest (VOI). First 3-D distance vector helps to identify Empirical Point and consecutively second gives dimensions of the VOI. Three-dimensional contours of anatomical structure are traced in the estimated VOI. Cephalometric landmarks are identified on the boundaries of traced anatomical geometry, based on corresponding Mathematical Entities. Detected landmark can be used as a Reference Point for further detection of landmarks. Estimating the VOI and detection of points continues till all desired landmarks are detected. The detection procedure gives three-dimensional coordinate locations of the landmarks. 
   
   ",Intelligence Artificielle,"Abhishek Gupta, Harish Kumar Sardana, Om Prakash Kharbanda, Viren Sardana","National Informatics Centre-Department Of Electronics And Information Technology, National Informatics Centre Department Of Electronics And Information Technology, Council of Scientific and Industrial Research CSIR","Expired - Fee Related, expires 2036-05-06"
https://patents.google.com/patent/US10318841B2,US10318841B2,"Medical-image processing apparatus, ultrasonic diagnostic apparatus, and medical-image processing method",2017-02-17,"medical-image, processing, apparatus, according, an, embodiment, includes, processing","
     A medical-image processing apparatus according to an embodiment includes processing circuitry. The processing circuit acquires an initial value of an outline corresponding vector that corresponds to an outline of a subject included in medical image data. The processing circuitry updates the outline corresponding vector based on a derivative that is acquired by differentiating a cost function with respect to the outline corresponding vector by the outline corresponding vector, and on the initial value of the outline corresponding vector. 
   
   ",Intelligence Artificielle,"Tomoya Okazaki, Yukinobu Sakata",Canon Medical Systems Corp,"Active, expires 2037-08-07"
https://patents.google.com/patent/US10318843B2,US10318843B2,Method and apparatus for image processing and comparison based on spatial relationships between image features,2017-03-30,"An, apparatus, includes, computer, server, having, processing, circuitry","
     An apparatus that includes a computer server having processing circuitry operatively coupled to a memory and a communication interface is provided. A remote image capture device is communicatively coupled to the computer server via the communication interface. The apparatus acquires a captured image of a storage system from the image capture device. The apparatus identifies a pair of physical items in the image, including determining identities of each item of the pair of physical items, and identifying locations in the storage system of each physical item of the pair of physical items. The apparatus processes the image to measure a physical proximity between the pair of physical items, and generates or updates a measure of similarity between the pair of physical items based on the measured physical proximity. The apparatus can also process multiple images to determine similarity between different storage systems or associated persons based on item proximities. 
   
   ",Intelligence Artificielle,"Sancho Juan Carlos Dean Rob Roy MCCANN, Marius Constantin Muja, Peter Michael Bruce Hudson",Rakuten Kobo Inc,"Active, expires 2037-08-02"
https://patents.google.com/patent/US10318844B2,US10318844B2,Detection and presentation of differences between 3D models,2018-03-21,"computer-implemented, method, includes, receiving, first, 3D, model","
     A computer-implemented method includes receiving a first 3D model and a second 3D model, wherein the first 3D model represents a first set of objects and the second 3D model represents includes a second set of objects. The computer-implemented method further includes scanning each of the first 3D model and the second 3D model to identify the first set of objects and the second set of objects, wherein the first set of objects and the second set of objects have at least one common object. The computer-implemented method further includes comparing the first set of objects to the second set of objects to yield one or more differences. The computer-implemented method further includes sorting each of the one or more differences based on a set of rules to yield a list of differences. A corresponding computer system and computer program product are also disclosed. 
   
   ",Autre,"Romain Trouve, Francois Varchon, Guillaume O. Villette, Gauthier Zirnhelt",International Business Machines Corp,Active
https://patents.google.com/patent/US10318845B2,US10318845B2,Coupon reader,2018-10-11,"method, reading, coupon, channel, displays","
     A method of reading a coupon channel that displays a test section pattern after being exposed to a target substance, the method uses a device having a computer readable memory, digital camera, logic assembly and user interface; providing a pixel target intensity profile; placing the coupon in the device and exposing the coupon channel to a test fluid mixture; automatically using the digital camera to take a digital image of the coupon channel test section after the exposure. The improvement in the method includes finding the contiguous set of pixels from the test section of the coupon channel that best matches the intensity profile of the target pattern representation and determining if this best match set of pixels exceeds a similarity threshold and in response to a best match set of pixels passing the similarity threshold, automatically providing a human perceptible indication that the target substance has been detected. 
   
   ",Autre,Elric Saaski,Research International Inc,Active
https://patents.google.com/patent/US10318846B2,US10318846B2,Clustering historical images using a convolutional neural net and labeled data bootstrapping,2016-12-28,"Systems, methods, for, classifying, historical, images., feature, extractor","
     Systems and methods for classifying historical images. A feature extractor may create feature vectors corresponding to a plurality of images. A first classification of the plurality of images may be performed based on the plurality of feature vectors, which may include assigning a label to each of the plurality of images and assigning a probability for each of the assigned labels. The assigned probability for each of the assigned labels may be related to a statistical confidence that a particular assigned label is correctly assigned to a particular image. A subset of the plurality of images may be displayed to a display device. An input corresponding to replacement of an incorrect label with a corrected label for a certain image may be received from a user. A second classification of the plurality of images based on the input from the user may be performed. 
   
   ",Autre,"Laryn Brown, Michael Murdock, Jack Reese, Shawn Reid",Ancestry com Inc,"Active, expires 2037-04-18"
https://patents.google.com/patent/US10318848B2,US10318848B2,Methods for object localization and image classification,2016-08-25,"method, training, for, image, classification, includes, labelling","
     A method of training for image classification includes labelling a crop from an image including an object of interest. The crop may be labelled with an indication of whether the object of interest is framed, partially framed or not present in the crop. The method may also include assigning a fully framed class to the labelled crop, including the object of interest, if the object of interest is framed. A labelled crop may be assigned a partially framed class if the object of interest is partially framed. A background class may be assigned to a labelled crop if the object of interest is not present in the crop. 
   
   ",Intelligence Artificielle,"Daniel Hendricus Franciscus DIJKMAN, David Jonathan Julian",Qualcomm Inc,"Active, expires 2037-04-13"
https://patents.google.com/patent/US10318849B2,US10318849B2,Check image data interference processing,2015-05-29,"Various, embodiments, herein, each, include, at, least, one, systems,","
     Various embodiments herein each include at least one of systems, methods, and software for check image data inference processing. Another example method embodiment includes inferring a check amount of a check image included in an account group of check images stored in a memory device. Where the check amount is missing in check data associated with the check image or was poorly read by an optical character recognition process, the method includes inferring of the check amount based at least in part on one or more check amounts of check data associated with other check images of the account group. Once inferred, the method includes updating the check amount of the check data associated with the respective check image with the inferred check amount of the check image. Some embodiments also or alternatively include inferring a check date. 
   
   ",Intelligence Artificielle,Jeffrey Stephen Cooper,"Citibank NA, JPMorgan Chase Bank NA, Digital First Holdings LLC","Active, expires 2035-06-14"
https://patents.google.com/patent/US10318851B2,US10318851B2,Generating and decoding two-dimensional code,2016-09-09,"two-dimensional, code, generation, method, includes:, performing, multiple, system","
     A two-dimensional code generation method includes: performing a multiple system barcode encoding on hidden information to generate multiple system barcode of hidden encoded information; selecting a corresponding two-dimensional code version to encode standard information to generate to-be-determined standard encoded information; selecting a corresponding mask to generate a bit matrix of a two-dimensional code, and extracting the number of black dots in the bit matrix; updating the selected mask and the two-dimensional code version according to the number of black dots and the length of the hidden encoded information to determine a finally selected mask and two-dimensional code version; generating standard encoded information according to the finally selected mask and two-dimensional code version; and generating a two-dimensional code according to the hidden encoded information and the standard encoded information. 
   
   ",Autre,Xiahong Feng,Alibaba Group Holding Ltd,"Active, expires 2036-11-16"
https://patents.google.com/patent/US10318854B2,US10318854B2,Systems and methods for protecting sensitive information stored on a mobile device,2016-05-13,"method, device, for, protecting, sensitive, information, stored, on","
     A method and device for protecting sensitive information stored on a mobile device capable of wireless communication is described. The protection is provided by permitting wireless transmission of the sensitive information only if data received from an optical sensor or a magnetic sensor satisfies a predetermined requirement. 
   
   ",Sécurité,"Masha Leah Davis, Horst Arnold Mueller",Assa Abloy AB,Active
